L,p,decoder,weight,n_runs,n_fails,p_log
20,0.1518749999999999,unified,2.1,39500,5930.0,0.15012658227848102
20,0.151875,unified,1.8,57000,7493.0,0.1314561403508772
20,0.1525,unified,1.1,60000,7850.0,0.13083333333333333
20,0.1525,unified,2.1,39500,5953.0,0.15070886075949366
20,0.153125,unified,1.1,60000,7964.0,0.13273333333333334
20,0.153125,unified,2.1,39500,6137.0,0.15536708860759493
20,0.15375,unified,1.1,60000,8292.0,0.1382
20,0.15375,unified,2.1,39500,6224.0,0.15756962025316457
20,0.1543749999999999,unified,1.1,60000,8270.0,0.13783333333333334
20,0.1543749999999999,unified,2.1,39500,6186.0,0.15660759493670887
20,0.155,unified,1.1,60000,8380.0,0.13966666666666666
20,0.155,unified,2.1,39500,6320.0,0.16
20,0.155625,unified,1.1,60000,8566.0,0.14276666666666665
20,0.155625,unified,2.1,39500,6510.0,0.16481012658227848
20,0.15625,unified,1.1,60000,8654.0,0.14423333333333332
20,0.15625,unified,2.1,39500,6446.0,0.1631898734177215
20,0.156875,unified,1.1,60000,8707.0,0.14511666666666667
20,0.156875,unified,2.1,39500,6647.0,0.16827848101265822
20,0.1575,unified,1.1,60000,8899.0,0.14831666666666668
20,0.1575,unified,2.1,39500,6594.0,0.16693670886075948
20,0.158125,unified,1.1,60000,9134.0,0.15223333333333333
20,0.158125,unified,2.1,39500,6670.0,0.16886075949367088
20,0.15875,unified,1.1,60000,9185.0,0.15308333333333332
20,0.15875,unified,2.1,39500,6986.0,0.1768607594936709
20,0.159375,unified,1.1,60000,9396.0,0.1566
20,0.159375,unified,2.1,39500,6989.0,0.1769367088607595
20,0.16,unified,1.1,60000,9488.0,0.15813333333333332
20,0.16,unified,2.1,39500,7120.0,0.18025316455696203
22,0.135,unified,1.8,124500,9824.0,0.07890763052208835
22,0.135,unified,2.1,60000,5635.0,0.09391666666666666
22,0.1359090909090909,unified,1.8,124500,10101.0,0.08113253012048192
22,0.1359090909090909,unified,2.1,60000,5752.0,0.09586666666666667
22,0.1368181818181818,unified,1.8,124500,10440.0,0.08385542168674699
22,0.1368181818181818,unified,2.1,60000,5903.0,0.09838333333333334
22,0.1377272727272727,unified,1.8,124500,10830.0,0.08698795180722892
22,0.1377272727272727,unified,2.1,60000,6023.0,0.10038333333333334
22,0.1386363636363636,unified,1.8,124500,10905.0,0.08759036144578314
22,0.1386363636363636,unified,2.1,60000,6337.0,0.10561666666666666
22,0.1395454545454545,unified,1.8,124500,11315.0,0.09088353413654618
22,0.1395454545454545,unified,2.1,60000,6592.0,0.10986666666666667
22,0.1404545454545454,unified,1.8,124500,11844.0,0.09513253012048192
22,0.1404545454545454,unified,2.1,60000,6704.0,0.11173333333333334
22,0.1413636363636363,unified,1.8,124500,12173.0,0.09777510040160643
22,0.1413636363636363,unified,2.1,60000,6684.0,0.1114
22,0.1422727272727272,unified,1.8,124500,12592.0,0.10114056224899598
22,0.1422727272727272,unified,2.1,60000,6941.0,0.11568333333333333
