L,p,decoder,weight,n_runs,n_fails,p_log
20,0.153125,unified,1.0,30000,3805.0,0.12683333333333333
20,0.153125,unified,1.1,60000,8048.0,0.13413333333333333
20,0.153125,unified,1.5,50000,6752.0,0.13504
20,0.153125,unified,2.0,60000,8321.0,0.13868333333333333
20,0.15375,unified,0.1,50000,6630.0,0.1326
20,0.15375,unified,0.3,48000,6378.0,0.132875
20,0.15375,unified,0.5,45000,5884.0,0.13075555555555557
20,0.15375,unified,0.7,60000,7704.0,0.1284
20,0.15375,unified,0.9,60000,7717.0,0.12861666666666666
20,0.15375,unified,1.0,30000,3944.0,0.13146666666666668
20,0.15375,unified,1.1,60000,8027.0,0.13378333333333334
20,0.15375,unified,1.5,50000,6845.0,0.1369
20,0.15375,unified,2.0,60000,8651.0,0.14418333333333333
20,0.1543749999999999,unified,0.1,50000,6832.0,0.13664
20,0.1543749999999999,unified,0.3,48000,6559.0,0.13664583333333333
20,0.1543749999999999,unified,0.5,45000,6001.0,0.13335555555555556
20,0.1543749999999999,unified,0.7,60000,7892.0,0.13153333333333334
20,0.1543749999999999,unified,0.9,60000,7980.0,0.133
20,0.1543749999999999,unified,1.0,30000,4011.0,0.1337
20,0.1543749999999999,unified,1.1,60000,8232.0,0.1372
20,0.1543749999999999,unified,1.5,50000,6917.0,0.13834
20,0.1543749999999999,unified,2.0,60000,8706.0,0.1451
20,0.155,unified,0.1,50000,6831.0,0.13662
20,0.155,unified,0.3,48000,6389.0,0.13310416666666666
20,0.155,unified,0.5,45000,6198.0,0.13773333333333335
20,0.155,unified,0.7,60000,8033.0,0.13388333333333333
20,0.155,unified,0.9,60000,7953.0,0.13255
20,0.155,unified,1.0,30000,3983.0,0.13276666666666667
20,0.155,unified,1.1,60000,8436.0,0.1406
20,0.155,unified,1.5,50000,6985.0,0.1397
20,0.155,unified,2.0,60000,8872.0,0.14786666666666667
20,0.155625,unified,0.1,50000,6931.0,0.13862
20,0.155625,unified,0.3,48000,6639.0,0.1383125
20,0.155625,unified,0.5,45000,6188.0,0.1375111111111111
20,0.155625,unified,0.7,60000,8002.0,0.13336666666666666
20,0.155625,unified,0.9,60000,8277.0,0.13795
20,0.155625,unified,1.0,30000,4150.0,0.13833333333333334
20,0.155625,unified,1.1,60000,8471.0,0.14118333333333333
20,0.155625,unified,1.5,50000,7110.0,0.1422
20,0.155625,unified,2.0,60000,9053.0,0.15088333333333334
20,0.15625,unified,0.1,50000,7125.0,0.1425
20,0.15625,unified,0.3,48000,6879.0,0.1433125
20,0.15625,unified,0.5,45000,6170.0,0.1371111111111111
20,0.15625,unified,0.7,60000,8314.0,0.13856666666666667
20,0.15625,unified,0.9,60000,8262.0,0.1377
20,0.15625,unified,1.0,30000,4187.0,0.13956666666666667
20,0.15625,unified,1.1,60000,8626.0,0.14376666666666665
20,0.15625,unified,1.5,50000,7290.0,0.1458
20,0.15625,unified,2.0,60000,9173.0,0.15288333333333334
20,0.156875,unified,0.1,50000,7269.0,0.14538
20,0.156875,unified,0.3,48000,6938.0,0.14454166666666668
20,0.156875,unified,0.5,45000,6246.0,0.1388
20,0.156875,unified,0.7,60000,8332.0,0.13886666666666667
20,0.156875,unified,0.9,60000,8343.0,0.13905
20,0.156875,unified,1.0,30000,4303.0,0.14343333333333333
20,0.156875,unified,1.1,60000,8647.0,0.14411666666666667
20,0.156875,unified,1.5,50000,7265.0,0.1453
20,0.156875,unified,2.0,60000,9340.0,0.15566666666666668
20,0.1575,unified,0.1,50000,7231.0,0.14462
20,0.1575,unified,0.3,48000,7000.0,0.14583333333333334
20,0.1575,unified,0.5,45000,6537.0,0.14526666666666666
20,0.1575,unified,0.7,60000,8510.0,0.14183333333333334
20,0.1575,unified,0.9,60000,8599.0,0.14331666666666668
20,0.1575,unified,1.0,30000,4380.0,0.146
20,0.1575,unified,1.1,60000,8772.0,0.1462
20,0.1575,unified,1.5,50000,7296.0,0.14592
20,0.1575,unified,2.0,60000,9459.0,0.15765
20,0.158125,unified,0.1,50000,7441.0,0.14882
20,0.158125,unified,0.3,48000,7138.0,0.14870833333333333
20,0.158125,unified,0.5,45000,6662.0,0.14804444444444445
20,0.158125,unified,0.7,60000,8591.0,0.14318333333333333
20,0.158125,unified,0.9,60000,8501.0,0.14168333333333333
20,0.158125,unified,1.0,30000,4348.0,0.14493333333333333
20,0.158125,unified,1.1,60000,9098.0,0.15163333333333334
20,0.158125,unified,1.5,50000,7512.0,0.15024
20,0.158125,unified,2.0,60000,9461.0,0.15768333333333334
20,0.15875,unified,0.1,50000,7455.0,0.1491
20,0.15875,unified,0.3,48000,7144.0,0.14883333333333335
20,0.15875,unified,0.5,45000,6632.0,0.14737777777777777
20,0.15875,unified,0.7,60000,8765.0,0.14608333333333334
20,0.15875,unified,0.9,60000,8798.0,0.14663333333333334
20,0.15875,unified,1.0,30000,4528.0,0.15093333333333334
20,0.15875,unified,1.1,60000,9224.0,0.15373333333333333
20,0.15875,unified,1.5,50000,7656.0,0.15312
20,0.15875,unified,2.0,60000,9503.0,0.15838333333333332
20,0.159375,unified,0.1,50000,7467.0,0.14934
20,0.159375,unified,0.3,48000,7234.0,0.15070833333333333
20,0.159375,unified,0.5,45000,6873.0,0.15273333333333333
20,0.159375,unified,0.7,60000,8855.0,0.14758333333333334
20,0.159375,unified,0.9,60000,8925.0,0.14875
20,0.159375,unified,1.0,30000,4492.0,0.14973333333333333
20,0.159375,unified,1.1,60000,9184.0,0.15306666666666666
20,0.159375,unified,1.5,50000,7765.0,0.1553
20,0.159375,unified,2.0,60000,9884.0,0.16473333333333334
20,0.16,unified,0.1,50000,7704.0,0.15408
20,0.16,unified,0.3,48000,7266.0,0.151375
20,0.16,unified,0.5,45000,6891.0,0.15313333333333334
20,0.16,unified,0.7,60000,9060.0,0.151
20,0.16,unified,0.9,60000,8883.0,0.14805
20,0.16,unified,1.0,30000,4570.0,0.15233333333333332
20,0.16,unified,1.1,60000,9317.0,0.15528333333333333
20,0.16,unified,1.5,50000,7808.0,0.15616
20,0.16,unified,2.0,60000,9963.0,0.16605
40,0.145,unified,0.1,32000,3023.0,0.09446875
40,0.145,unified,0.5,60000,5446.0,0.09076666666666666
40,0.145,unified,0.7,60000,5462.0,0.09103333333333333
40,0.145,unified,1.0,40000,3639.0,0.090975
40,0.145,unified,1.1,60000,5906.0,0.09843333333333333
40,0.145,unified,2.0,60000,6527.0,0.10878333333333333
40,0.145625,unified,0.1,32000,3079.0,0.09621875
40,0.145625,unified,0.5,60000,5681.0,0.09468333333333333
40,0.145625,unified,0.7,60000,5568.0,0.0928
40,0.145625,unified,1.0,40000,3905.0,0.097625
40,0.145625,unified,1.1,60000,6087.0,0.10145
40,0.145625,unified,2.0,60000,6773.0,0.11288333333333334
40,0.14625,unified,0.1,32000,3288.0,0.10275
40,0.14625,unified,0.5,60000,6030.0,0.1005
